dataset,condition,seed,global_best,global_min,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count
coatings,fixed_ucb_high,0,4081245.0762726846,0.0,0.9279170040908802,3972786.146667793,0.9734250387864615,15,0,0.0,0
coatings,fixed_ucb_high,1,4081245.0762726846,0.0,0.9734250387864614,3972786.146667793,0.9734250387864615,0,0,0.0,0
coatings,fixed_ucb_high,2,4081245.0762726846,0.0,0.844562126835955,3849179.6928702956,0.9431385817157716,50,0,0.0,0
coatings,fixed_ucb_high,3,4081245.0762726846,0.0,0.8995723221352933,3860644.472341896,0.9459477194316744,9,0,0.0,0
coatings,fixed_ucb_high,4,4081245.0762726846,0.0,0.9734250387864614,3972786.146667793,0.9734250387864615,0,0,0.0,0
coatings,fixed_ucb_high,5,4081245.0762726846,0.0,0.9717609477386212,3972786.146667793,0.9734250387864615,0,0,0.0,0
coatings,fixed_ucb_high,6,4081245.0762726846,0.0,0.9641306518573397,4019112.594109251,0.9847760962641876,9,0,0.0,0
coatings,fixed_ucb_high,7,4081245.0762726846,0.0,0.9331654759473811,3972786.146667793,0.9734250387864615,23,0,0.0,0
coatings,fixed_ucb_high,8,4081245.0762726846,0.0,0.9557882269139664,3972786.146667793,0.9734250387864615,11,0,0.0,0
coatings,fixed_ucb_high,9,4081245.0762726846,0.0,0.8342362971727383,3849179.6928702956,0.9431385817157716,76,0,0.0,0
coatings,fixed_ucb_high,10,4081245.0762726846,0.0,0.8874025441781384,4019112.594109251,0.9847760962641876,36,0,0.0,0
coatings,fixed_ucb_high,11,4081245.0762726846,0.0,0.8215076511450429,3849179.6928702956,0.9431385817157716,56,0,0.0,0
coatings,fixed_ucb_high,12,4081245.0762726846,0.0,0.9149077599583189,3972786.146667793,0.9734250387864615,16,0,0.0,0
coatings,fixed_ucb_high,13,4081245.0762726846,0.0,0.8657596222948701,3849179.6928702956,0.9431385817157716,68,0,0.0,0
coatings,fixed_ucb_high,14,4081245.0762726846,0.0,0.9847760962641876,4019112.594109251,0.9847760962641876,0,0,0.0,0
coatings,fixed_ucb_high,15,4081245.0762726846,0.0,0.9305399589265415,4019112.594109251,0.9847760962641876,20,0,0.0,0
coatings,fixed_ucb_high,16,4081245.0762726846,0.0,0.886210703678275,3849179.6928702956,0.9431385817157716,31,0,0.0,0
coatings,fixed_ucb_high,17,4081245.0762726846,0.0,0.9618367135899123,4019112.594109251,0.9847760962641876,10,0,0.0,0
coatings,fixed_ucb_high,18,4081245.0762726846,0.0,0.8943486699627762,3849179.6928702956,0.9431385817157716,87,0,0.0,0
coatings,fixed_ucb_high,19,4081245.0762726846,0.0,0.914590427781854,3849179.6928702956,0.9431385817157716,8,0,0.0,0
coatings,ada_original,0,4081245.0762726846,0.0,0.9587849566026904,4019112.594109251,0.9847760962641876,6,1,0.1098901098901099,0
coatings,ada_original,1,4081245.0762726846,0.0,0.9734250387864614,3972786.146667793,0.9734250387864615,0,1,0.1098901098901099,0
coatings,ada_original,2,4081245.0762726846,0.0,0.8198828202272457,3972786.146667793,0.9734250387864615,40,1,0.1098901098901099,0
